name,name_en,type,address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time
Анар хүнсний дэлгүүр ATM,Anar Supermarket ATM,atm,10-р хороо  Худгийн гудамж  16-р сургуулийн урд  Анар хүнсний дэлгүүр ,10th khoroo  wells street  Sukhbaatar district   infront of 16th school  Anar Supermarket,Даваа-Ням 08:00-24:00,Mon-Sun 8am-12pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:59:00 PM
Андууд супермаркет  Экспресс АТМ,Anduud Supermarket  Express ATM,atm,15-р хороо  Хан-Уул дүүрэг  Хүннү хороолол  Андууд супермаркет ,"15th khoroo  Khan-Uul district  Khunnu 2222  Anduud Supermarket
",Даваа-Ням 09:00-22:00,Mon-Sun 9am-10pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,10:00:00 PM
Ард салбар  Цэцэг төв Экспресс банк ATM,Xacbank Ard branch Tsetseg tuv  Express bank ATM,atm,1-р хороо  Бага тойруу  Хас банк Ард салбар Цэцэг төв,1st khoroo  Baga toiruu street  Chingeltei district  Xacbank Ard branch,Даваа-Ням 8-20 цаг,Mon-Sun 8-20 hour,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,8:00:00 PM
22 товчоо М март  Экспресс банк ,22 Tovchoo M mart  Express bank ATM,atm,32-р хороо  22 товчоо М март ,32st khoroo  22 Tovchoo M mart,Даваа-Ням 08-22 цаг,Mon-Sun 08-22 hour,1800-1888,1,1,1,1,1,1,1,7:00:00 AM,9:59:00 PM
Асио зах  Экспресс АТМ,Asio Market  Express ATM,atm,"19-р хороо  Да хүрээ гудамж  16-р хороолол буудлын ард  Асио зах
",19th khoroo  Da Khuree street  16th district  Bayanzurkh  Asio Market ,Даваа-Ням 10:00-20:00 цаг,Mon-Sun 10am-20pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,8:00:00 PM
Бат-Ундрал Аривжих хүнсний дэлгүүр ATM,Bat-Undral Arivjikh mini market ATM,atm,3-р хороо  Толгойтын гудамж  65-р сургуулийн урд  Бат-Ундрал Аривжих хүнсний дэлгүүр,3rd khoroo  Tolgoit road  Songinokhairkhan district  infront of 65th school  Bat-Undral Arivjikh mini market ,Даваа-Ням 09:00-24:00 цаг,Mon-Sun 9am-12pm,1800-1888,1,1,1,1,1,1,1,9:00:00 AM,11:59:00 PM
Баялаг ундраа худалдааны төв  Экспресс АТМ ,Bayalag-Undraa market  Express ATM-1,atm,14-р хороо  Нарны зам  Баялаг ундраа худалдааны төв ,14th khoroo  Sun road  bayanzurkh district  Bayalag Undraa Center ,"Даваа-Ням 08:00-20:00 цаг
Мягмар амарна","Mon-Sun 8am-8pm  
Tuesday closed",1800-1888,1,0,1,1,1,1,1,8:00:00 AM,8:00:00 PM
Баялаг ундраа худалдааны төв  Экспресс АТМ ,Bayalag-Undraa market  Express ATM-2,atm,14-р хороо  Нарны зам  Баялаг ундраа худалдааны төв ,14th khoroo  Sun road  bayanzurkh district  Bayalag Undraa Center ,"Даваа-Ням 08:00-20:00 цаг 
Мягмар амрана","Mon-Sun 8am-8pm  
Tuesday closed",1800-1888,1,0,1,1,1,1,1,8:00:00 AM,8:00:00 PM
Баялаг ундраа худалдааны төв  Экспресс АТМ-3,Bayalag-Undraa market  Express ATM-3,atm,14-р хороо  Нарны зам  Баялаг ундраа худалдааны төв ,14th khoroo  Sun road  bayanzurkh district  Bayalag Undraa Center ,"Даваа-Ням 08:00-20:00 цаг
мягмар амрана","Mon-Sun 8am-8pm  
Tuesday closed",1800-1888,1,0,1,1,1,1,1,8:00:00 AM,8:00:00 PM
Баялаг хүнсний дэлгүүр ATM,Bayalag mini market ATM,atm,2-р хороо  Толгойтын гудамж  Толгойтын хуучин эцэс  Баялаг хүнсний дэлгүүр ,2nd khoroo  Tolgoit street  Tolgoit old terminal  Bayalag mini market ,Даваа-Ням 08:00-24:00 цаг,Mon-Sun 8am-12pm,1800-1888,1,1,1,1,1,1,1,8:00:00 AM,11:59:00 PM
